# x_m,y_m,w_tr_right_m,w_tr_left_m
49.17698338,545.7952941,5.779798266,6.023616049
49.39155631,548.0981899,5.751099957,6.033765023
49.60571787,550.4012448,5.722824724,6.045202398
49.81946458,552.7044604,5.694976176,6.056212558
50.03279296,555.0078386,5.667557921,6.066791892
50.24569955,557.3113813,5.640573568,6.07693679
50.45818087,559.6150903,5.614026725,6.086643639
50.67023346,561.9189674,5.587921,6.095908829
50.88185383,564.2230144,5.562260002,6.104728748
51.09303851,566.5272331,5.537047338,6.113099786
51.30378404,568.8316254,5.512286618,6.121018331
51.51408695,571.1361931,5.487981449,6.128480771
51.72394375,573.440938,5.464135439,6.135483496
51.93335098,575.7458619,5.440752196,6.142022895
52.14230517,578.0509666,5.417835329,6.148095355
52.35080283,580.356254,5.395388446,6.153697267
52.55884052,582.661726,5.373415155,6.158825017
52.76641474,584.9673842,5.351919063,6.163474996
52.97352202,587.2732305,5.33090378,6.167235104
53.18015891,589.5792669,5.310372912,6.170362037
53.38632191,591.885495,5.290330069,6.173000332
53.59200757,594.1919167,5.270778858,6.175146375
53.7972124,596.4985338,5.251722888,6.176796555
54.00193294,598.8053482,5.233165767,6.177947258
54.20616572,601.1123616,5.215111102,6.178594874
54.40990725,603.419576,5.197562503,6.178735788
54.61315408,605.726993,5.180523578,6.17836639
54.81590273,608.0346146,5.163997934,6.177483066
55.01814972,610.3424425,5.147989181,6.176082203
55.21989158,612.6504786,5.132500927,6.165964133
55.42112485,614.9587247,5.117536781,6.151755911
55.62184604,617.2671827,5.091619909,6.137018472
55.8220517,619.5758542,5.042272876,6.121748191
56.02173834,621.8847413,4.993458502,6.105941442
56.22090249,624.1938456,4.945180368,6.089594599
56.41954068,626.503169,4.897442051,6.072704037
56.61764944,628.8127134,4.85024713,6.055266129
56.8152253,631.1224805,4.803599184,6.037277249
57.01226478,633.4324722,4.757501789,6.018733769
57.20876441,635.7426903,4.711958525,5.999632064
57.40472073,638.0531366,4.666972968,5.979968505
57.60013025,640.3638129,4.622548696,5.959739465
57.79498951,642.6747212,4.578689287,5.938941315
57.98929503,644.985863,4.535398319,5.917570428
58.18304335,647.2972404,4.492679367,5.895623174
58.37623098,649.6088552,4.45053601,5.873095925
58.56885446,651.9207091,4.411818941,5.84998505
58.76091032,654.2328039,4.411517999,5.830519007
58.95239508,656.5451416,4.411806552,5.813634401
59.14330527,658.8577238,4.412688215,5.796155947
59.33363742,661.1705525,4.414166606,5.778080023
59.52338805,663.4836295,4.41624534,5.759403006
59.7125537,665.7969565,4.418928034,5.740121273
59.9011309,668.1105355,4.422218306,5.720231199
60.08911616,670.4243681,4.426119773,5.699729162
60.27650602,672.7384564,4.430636052,5.678611537
60.46329701,675.0528019,4.435770763,5.657727045
60.64948565,677.3674067,4.441527523,5.637328674
60.83506848,679.6822725,4.447909951,5.616304031
61.02004201,681.9974011,4.454921666,5.594649492
61.20440278,684.3127944,4.473797692,5.572361432
61.38814732,686.6284542,4.498666688,5.549436226
61.57127215,688.9443823,4.524177573,5.52587025
61.7537738,691.2605805,4.550333988,5.501659878
61.9356488,693.5770506,4.577139575,5.476801483
62.11689368,695.8937945,4.604597973,5.45129144
62.29750496,698.210814,4.632712825,5.425068574
62.47747918,700.5281109,4.661487775,5.398148211
62.65681286,702.845687,4.690926465,5.370565306
62.83550252,705.1635442,4.721032539,5.34231623
63.0135447,707.4816843,4.751809641,5.313397354
